STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,METHODOLOGY,,MEASURE,,UNIT_MEASURE,,EXPENDITURE,,ADJUSTMENT,,TRANSFORMATION,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,BASE_PER,,DURABILITY,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2016-Q3,,0.4152823,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2016-Q4,,1.335559,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2017-Q1,,2.166667,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2017-Q2,,1.742739,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2017-Q3,,1.902399,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2017-Q4,,1.594399,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2018-Q1,,1.1,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2018-Q2,,1.5,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2018-Q3,,1.901299,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2018-Q4,,1.888668,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2019-Q1,,1.48368,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2019-Q2,,1.674877,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2019-Q3,,1.464844,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2019-Q4,,1.853659,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2020-Q1,,2.534113,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2020-Q2,,1.453488,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2020-Q3,,1.443696,,A,,,,,,,,2,
