t,date,deutschland,synthetisch,gap,spez,t_fake,date_fake
3,2005.5,65.5234,66.75158531593597,-1.2281853159359741,Haupt (J=7),25,2011
4,2005.75,65.89368,66.87340987769221,-0.9797298776922077,Haupt (J=7),25,2011
5,2006,66.40794,67.12015470120902,-0.712214701209021,Haupt (J=7),25,2011
6,2006.25,66.9909,67.60578751757689,-0.6148875175768893,Haupt (J=7),25,2011
7,2006.5,67.47513,68.00617956984061,-0.5310495698406186,Haupt (J=7),25,2011
8,2006.75,67.7817,68.13151279609359,-0.3498127960935875,Haupt (J=7),25,2011
9,2007,68.48769,68.58866600759032,-0.10097600759031877,Haupt (J=7),25,2011
10,2007.25,68.81258,68.73059690749542,0.08198309250457214,Haupt (J=7),25,2011
11,2007.5,69.18359,69.25057503205602,-0.06698503205602435,Haupt (J=7),25,2011
12,2007.75,69.36181,69.21817683981783,0.1436331601821763,Haupt (J=7),25,2011
13,2008,69.81321,69.80422069468057,0.00898930531943165,Haupt (J=7),25,2011
14,2008.25,69.80685,69.9788659220712,-0.17201592207119631,Haupt (J=7),25,2011
15,2008.5,70.35694,69.62884102599205,0.7280989740079491,Haupt (J=7),25,2011
16,2008.75,70.43853,69.76827002310479,0.6702599768952098,Haupt (J=7),25,2011
17,2009,69.24348,69.43756764650321,-0.1940876465032062,Haupt (J=7),25,2011
18,2009.25,69.34557,69.21600035696308,0.1295696430369162,Haupt (J=7),25,2011
19,2009.5,69.180179999999993,69.06094299959116,0.11923700040883034,Haupt (J=7),25,2011
20,2009.75,69.81895,69.22241234054326,0.5965376594567431,Haupt (J=7),25,2011
21,2010,69.90231,69.32063077026908,0.5816792297309235,Haupt (J=7),25,2011
22,2010.25,70.25742,69.40321226565064,0.8542077343493588,Haupt (J=7),25,2011
23,2010.5,70.44604,69.61687851513898,0.829161484861018,Haupt (J=7),25,2011
24,2010.75,70.65646,69.9902928086761,0.6661671913238933,Haupt (J=7),25,2011
25,2011,71.21901,69.70880417474109,1.5102058252589075,Haupt (J=7),25,2011
26,2011.25,71.75304,69.87661540569036,1.8764245943096398,Haupt (J=7),25,2011
27,2011.5,71.83925,70.10692564232205,1.7323243576779532,Haupt (J=7),25,2011
28,2011.75,72.25014,69.82298619704196,2.4271538029580455,Haupt (J=7),25,2011
29,2012,71.77687,69.98093636298303,1.7959336370169723,Haupt (J=7),25,2011
30,2012.25,71.98163,70.25946694425518,1.722163055744815,Haupt (J=7),25,2011
31,2012.5,72.06743,70.16407953851943,1.9033504614805707,Haupt (J=7),25,2011
32,2012.75,72.14242,70.16483426785429,1.9775857321457124,Haupt (J=7),25,2011
33,2013,72.18745,69.94071526015897,2.246734739841031,Haupt (J=7),25,2011
34,2013.25,72.47523,70.31018431843019,2.165045681569808,Haupt (J=7),25,2011
35,2013.5,72.39938,70.13853230169781,2.260847698302186,Haupt (J=7),25,2011
36,2013.75,72.46141,69.85353021587832,2.6078797841216783,Haupt (J=7),25,2011
37,2014,72.45598,69.680408912872707,2.7755710871272896,Haupt (J=7),25,2011
38,2014.25,72.56773,69.98940687614295,2.5783231238570465,Haupt (J=7),25,2011
39,2014.5,72.71888,69.68869078547247,3.0301892145275247,Haupt (J=7),25,2011
40,2014.75,72.56651,69.77154740821246,2.794962591787538,Haupt (J=7),25,2011
41,2015,72.70757,69.80058861227066,2.9069813877293456,Haupt (J=7),25,2011
42,2015.25,72.51051,69.68267199604135,2.8278380039586466,Haupt (J=7),25,2011
43,2015.5,72.63437,69.95046883455856,2.6839011654414406,Haupt (J=7),25,2011
44,2015.75,72.76231,70.02865507576587,2.7336549242341306,Haupt (J=7),25,2011
45,2016,72.93954,70.06433349998171,2.8752065000182796,Haupt (J=7),25,2011
46,2016.25,72.98755,70.27918608426374,2.708363915736257,Haupt (J=7),25,2011
47,2016.5,73.40736,70.50025440963336,2.9071055903666405,Haupt (J=7),25,2011
48,2016.75,73.49681,70.55683179591527,2.939978204084724,Haupt (J=7),25,2011
49,2017,73.41237,70.61227928483997,2.8000907151600245,Haupt (J=7),25,2011
50,2017.25,73.58966,71.05315949399296,2.5365005060070303,Haupt (J=7),25,2011
51,2017.5,73.71687,70.89100387783343,2.8258661221665733,Haupt (J=7),25,2011
52,2017.75,73.96725,71.38780611066296,2.5794438893370426,Haupt (J=7),25,2011
53,2018,74.04164,71.5118146635446,2.529825336455403,Haupt (J=7),25,2011
54,2018.25,74.02095,71.93654291829826,2.084407081701741,Haupt (J=7),25,2011
55,2018.5,74.28933,71.85006594255387,2.439264057446138,Haupt (J=7),25,2011
56,2018.75,74.40572,71.9830740582736,2.422645941726401,Haupt (J=7),25,2011
57,2019,74.73882,72.20943988647814,2.529380113521867,Haupt (J=7),25,2011
58,2019.25,74.89684,72.35838289787313,2.53845710212687,Haupt (J=7),25,2011
59,2019.5,74.87152,72.26425933181481,2.607260668185191,Haupt (J=7),25,2011
60,2019.75,74.74255,72.59743680608281,2.145113193917183,Haupt (J=7),25,2011
1,2005,65.19444,66.53620943240927,-1.341769432409265,Haupt (J=7),29,2012
2,2005.25,65.19944,66.66163397176499,-1.4621939717649894,Haupt (J=7),29,2012
3,2005.5,65.5234,67.01726872758228,-1.4938687275822815,Haupt (J=7),29,2012
4,2005.75,65.89368,67.1301564880138,-1.2364764880137926,Haupt (J=7),29,2012
5,2006,66.40794,67.36997298760453,-0.9620329876045304,Haupt (J=7),29,2012
6,2006.25,66.9909,67.86162148981595,-0.8707214898159492,Haupt (J=7),29,2012
7,2006.5,67.47513,68.2811956220928,-0.8060656220928024,Haupt (J=7),29,2012
8,2006.75,67.7817,68.4063710662065,-0.6246710662065027,Haupt (J=7),29,2012
9,2007,68.48769,68.87948858804592,-0.3917985880459156,Haupt (J=7),29,2012
10,2007.25,68.81258,69.01871484002805,-0.2061348400280565,Haupt (J=7),29,2012
11,2007.5,69.18359,69.5438193001905,-0.360229300190511,Haupt (J=7),29,2012
12,2007.75,69.36181,69.51519151391004,-0.15338151391003407,Haupt (J=7),29,2012
13,2008,69.81321,70.11711278986483,-0.30390278986483565,Haupt (J=7),29,2012
14,2008.25,69.80685,70.29388380032998,-0.4870338003299821,Haupt (J=7),29,2012
15,2008.5,70.35694,69.93564896825778,0.4212910317422143,Haupt (J=7),29,2012
16,2008.75,70.43853,70.08999103728922,0.34853896271077645,Haupt (J=7),29,2012
17,2009,69.24348,69.7738708043979,-0.5303908043978964,Haupt (J=7),29,2012
18,2009.25,69.34557,69.5566635925138,-0.2110935925138051,Haupt (J=7),29,2012
19,2009.5,69.180179999999993,69.4083046585116,-0.22812465851160368,Haupt (J=7),29,2012
20,2009.75,69.81895,69.58485004415452,0.2340999558454797,Haupt (J=7),29,2012
21,2010,69.90231,69.68498211223216,0.21732788776783707,Haupt (J=7),29,2012
22,2010.25,70.25742,69.77141350347068,0.4860064965293134,Haupt (J=7),29,2012
23,2010.5,70.44604,69.99840281263432,0.4476371873656717,Haupt (J=7),29,2012
24,2010.75,70.65646,70.37479072192343,0.2816692780765635,Haupt (J=7),29,2012
25,2011,71.21901,70.07931724339024,1.1396927566097617,Haupt (J=7),29,2012
26,2011.25,71.75304,70.25645867010722,1.496581329892777,Haupt (J=7),29,2012
27,2011.5,71.83925,70.49675559332698,1.3424944066730262,Haupt (J=7),29,2012
28,2011.75,72.25014,70.20704499779471,2.043095002205291,Haupt (J=7),29,2012
29,2012,71.77687,70.36613880570852,1.4107311942914862,Haupt (J=7),29,2012
30,2012.25,71.98163,70.65466096423202,1.3269690357679735,Haupt (J=7),29,2012
31,2012.5,72.06743,70.56274067466681,1.5046893253331888,Haupt (J=7),29,2012
32,2012.75,72.14242,70.57013743124118,1.5722825687588227,Haupt (J=7),29,2012
33,2013,72.18745,70.35423662765784,1.8332133723421578,Haupt (J=7),29,2012
34,2013.25,72.47523,70.74594073620031,1.7292892637996857,Haupt (J=7),29,2012
35,2013.5,72.39938,70.57027146427136,1.8291085357286363,Haupt (J=7),29,2012
36,2013.75,72.46141,70.27065314047218,2.1907568595278235,Haupt (J=7),29,2012
37,2014,72.45598,70.08957939028775,2.366400609712244,Haupt (J=7),29,2012
38,2014.25,72.56773,70.40795933120984,2.159770668790159,Haupt (J=7),29,2012
39,2014.5,72.71888,70.09340132618424,2.6254786738157634,Haupt (J=7),29,2012
40,2014.75,72.56651,70.17122112254583,2.3952888774541634,Haupt (J=7),29,2012
41,2015,72.70757,70.19675261360982,2.510817386390187,Haupt (J=7),29,2012
42,2015.25,72.51051,70.07510022257644,2.4354097774235584,Haupt (J=7),29,2012
43,2015.5,72.63437,70.33736942492118,2.297000575078826,Haupt (J=7),29,2012
44,2015.75,72.76231,70.4127183633644,2.3495916366355942,Haupt (J=7),29,2012
45,2016,72.93954,70.44160234182272,2.4979376581772783,Haupt (J=7),29,2012
46,2016.25,72.98755,70.64835658885089,2.339193411149111,Haupt (J=7),29,2012
47,2016.5,73.40736,70.87613352590417,2.5312264740958312,Haupt (J=7),29,2012
48,2016.75,73.49681,70.93074684998606,2.5660631500139317,Haupt (J=7),29,2012
49,2017,73.41237,70.97680099738237,2.435569002617626,Haupt (J=7),29,2012
50,2017.25,73.58966,71.43032470704566,2.1593352929543386,Haupt (J=7),29,2012
51,2017.5,73.71687,71.25397586740931,2.462894132590691,Haupt (J=7),29,2012
52,2017.75,73.96725,71.76091191367333,2.2063380863266815,Haupt (J=7),29,2012
53,2018,74.04164,71.88517751846322,2.156462481536778,Haupt (J=7),29,2012
54,2018.25,74.02095,72.31035248876924,1.710597511230759,Haupt (J=7),29,2012
55,2018.5,74.28933,72.22266523692163,2.0666647630783785,Haupt (J=7),29,2012
56,2018.75,74.40572,72.36089382497461,2.044826175025392,Haupt (J=7),29,2012
57,2019,74.73882,72.58435134230703,2.1544686576929735,Haupt (J=7),29,2012
58,2019.25,74.89684,72.73292342422144,2.1639165757785577,Haupt (J=7),29,2012
59,2019.5,74.87152,72.6353557924613,2.2361642075387067,Haupt (J=7),29,2012
60,2019.75,74.74255,72.97511005622427,1.7674399437757273,Haupt (J=7),29,2012
1,2005,65.19444,66.6946588923998,-1.5002188923998006,Haupt (J=7),33,2013
2,2005.25,65.19944,66.82415388898127,-1.624713888981276,Haupt (J=7),33,2013
3,2005.5,65.5234,67.19094542067154,-1.6675454206715443,Haupt (J=7),33,2013
4,2005.75,65.89368,67.29799403656259,-1.4043140365625817,Haupt (J=7),33,2013
5,2006,66.40794,67.53328220987149,-1.1253422098714907,Haupt (J=7),33,2013
6,2006.25,66.9909,68.02886066136787,-1.037960661367876,Haupt (J=7),33,2013
